ts,precipitation_mm
2024-04-15T00:00:00+03:00,0.0
2024-04-15T01:00:00+03:00,0.0
2024-04-15T02:00:00+03:00,0.0
2024-04-15T03:00:00+03:00,0.0
2024-04-15T04:00:00+03:00,0.0
2024-04-15T05:00:00+03:00,0.0
2024-04-15T06:00:00+03:00,0.0
2024-04-15T07:00:00+03:00,0.0
2024-04-15T08:00:00+03:00,0.0
2024-04-15T09:00:00+03:00,0.0
2024-04-15T10:00:00+03:00,0.0
2024-04-15T11:00:00+03:00,0.0
2024-04-15T12:00:00+03:00,0.0
2024-04-15T13:00:00+03:00,0.0
2024-04-15T14:00:00+03:00,0.0
2024-04-15T15:00:00+03:00,0.0
2024-04-15T16:00:00+03:00,0.2
2024-04-15T17:00:00+03:00,0.4
2024-04-15T18:00:00+03:00,0.8
2024-04-15T19:00:00+03:00,0.6
2024-04-15T20:00:00+03:00,0.3
2024-04-15T21:00:00+03:00,0.7
2024-04-15T22:00:00+03:00,1.2
2024-04-15T23:00:00+03:00,1.6
2024-04-16T00:00:00+03:00,0.7
2024-04-16T01:00:00+03:00,0.5
2024-04-16T02:00:00+03:00,0.9
2024-04-16T03:00:00+03:00,1.4
2024-04-16T04:00:00+03:00,1.1
2024-04-16T05:00:00+03:00,1.6
2024-04-16T06:00:00+03:00,2.2
2024-04-16T07:00:00+03:00,2.9
2024-04-16T08:00:00+03:00,4.3
2024-04-16T09:00:00+03:00,7.4
2024-04-16T10:00:00+03:00,13.8
2024-04-16T11:00:00+03:00,24.2
2024-04-16T12:00:00+03:00,18.6
2024-04-16T13:00:00+03:00,9.7
2024-04-16T14:00:00+03:00,5.1
2024-04-16T15:00:00+03:00,2.8
2024-04-16T16:00:00+03:00,1.7
2024-04-16T17:00:00+03:00,1.1
2024-04-16T18:00:00+03:00,0.7
2024-04-16T19:00:00+03:00,0.5
2024-04-16T20:00:00+03:00,0.3
2024-04-16T21:00:00+03:00,0.2
2024-04-16T22:00:00+03:00,0.1
2024-04-16T23:00:00+03:00,0.1
2024-04-17T00:00:00+03:00,0.2
2024-04-17T01:00:00+03:00,0.4
2024-04-17T02:00:00+03:00,0.9
2024-04-17T03:00:00+03:00,1.3
2024-04-17T04:00:00+03:00,0.7
2024-04-17T05:00:00+03:00,0.3
2024-04-17T06:00:00+03:00,0.1
2024-04-17T07:00:00+03:00,0.0
2024-04-17T08:00:00+03:00,0.0
2024-04-17T09:00:00+03:00,0.0
2024-04-17T10:00:00+03:00,0.0
2024-04-17T11:00:00+03:00,0.0
2024-04-17T12:00:00+03:00,0.0
2024-04-17T13:00:00+03:00,0.0
2024-04-17T14:00:00+03:00,0.0
2024-04-17T15:00:00+03:00,0.0
2024-04-17T16:00:00+03:00,0.0
2024-04-17T17:00:00+03:00,0.0
2024-04-17T18:00:00+03:00,0.0
2024-04-17T19:00:00+03:00,0.0
2024-04-17T20:00:00+03:00,0.0
2024-04-17T21:00:00+03:00,0.0
2024-04-17T22:00:00+03:00,0.0
2024-04-17T23:00:00+03:00,0.0
